campaign_id,campaign_name,channel,objective,start_date,end_date,budget,total_spend,impressions,clicks,total_leads,avg_lead_score,total_conversions,purchases,trials,total_revenue,budget_utilization,ctr,purchase_rate,roas,cost_per_purchase,revenue_per_lead
CMP0060,Affiliate 2024 060,affiliate,acquisition,2024-11-10,2025-04-05,79884.92,62309.32,6923196,174518,5104,51.05,768,326,442,417738.92,78.0,2.52,6.39,6.7,191.13,81.85
CMP0050,Affiliate 2023 050,affiliate,awareness,2023-08-23,2023-12-27,37882.58,35219.4,3913208,96110,4086,50.9,659,299,360,388919.88,92.97,2.46,7.32,11.04,117.79,95.18
CMP0021,Paid Search 2024 021,paid_search,awareness,2024-07-16,2024-11-30,76193.25,71337.5,3963132,137678,4727,50.34,691,291,400,380892.89,93.63,3.47,6.16,5.34,245.15,80.58
CMP0061,Paid Search 2023 061,paid_search,lead_gen,2023-06-05,2023-10-14,50880.95,48907.03,2716997,96240,4239,50.99,688,283,405,369829.93,96.12,3.54,6.68,7.56,172.82,87.24
CMP0081,Paid Search 2023 081,paid_search,awareness,2023-06-27,2023-11-15,48241.24,43017.04,2389775,83585,4149,50.9,605,278,327,361820.39,89.17,3.5,6.7,8.41,154.74,87.21
CMP0020,Affiliate 2025 020,affiliate,lead_gen,2025-04-18,2025-08-28,75829.28,60255.89,6695040,166576,4632,50.27,689,282,407,348047.15,79.46,2.49,6.09,5.78,213.67,75.14
CMP0110,Affiliate 2025 110,affiliate,acquisition,2025-02-27,2025-07-15,37632.26,30384.26,3375958,84712,4123,49.89,640,257,383,330555.85,80.74,2.51,6.23,10.88,118.23,80.17
CMP0062,Paid Social 2023 062,paid_social,lead_gen,2023-05-31,2023-10-07,64913.07,49907.15,4536957,81572,3878,50.34,579,246,333,321241.52,76.88,1.8,6.34,6.44,202.87,82.84
CMP0015,Affiliate 2024 015,affiliate,awareness,2024-08-02,2024-11-18,60983.68,58887.07,6542960,164871,3808,50.82,606,244,362,319263.94,96.56,2.52,6.41,5.42,241.34,83.84
CMP0056,Paid Search 2025 056,paid_search,acquisition,2025-05-17,2025-09-06,60120.49,52535.84,2918609,103965,3838,50.21,595,237,358,316984.23,87.38,3.56,6.18,6.03,221.67,82.59
CMP0107,Paid Social 2024 107,paid_social,awareness,2024-08-21,2024-12-23,74343.86,66794.72,6072187,110441,4138,51.16,611,238,373,316085.27,89.85,1.82,5.75,4.73,280.65,76.39
CMP0117,Paid Social 2023 117,paid_social,awareness,2023-08-12,2023-12-06,78212.52,64353.11,5850226,105202,3912,49.59,568,242,326,315925.45,82.28,1.8,6.19,4.91,265.92,80.76
CMP0057,Paid Social 2024 057,paid_social,lead_gen,2024-01-07,2024-04-30,55880.39,52562.77,4778384,83684,3693,50.91,559,248,311,313791.4,94.06,1.75,6.72,5.97,211.95,84.97
CMP0116,Paid Search 2023 116,paid_search,acquisition,2023-05-19,2023-09-04,43360.18,36411.2,2022793,70324,3326,50.5,515,233,282,308379.69,83.97,3.48,7.01,8.47,156.27,92.72
CMP0092,Paid Social 2024 092,paid_social,lead_gen,2024-11-22,2025-02-25,64885.51,49872.48,4533820,82614,3207,51.11,491,224,267,301738.54,76.86,1.82,6.98,6.05,222.65,94.09
CMP0026,Paid Search 2025 026,paid_search,acquisition,2025-04-16,2025-08-09,49802.17,41140.87,2285552,80957,3653,50.44,590,228,362,299599.91,82.61,3.54,6.24,7.28,180.44,82.01
CMP0010,Affiliate 2023 010,affiliate,awareness,2023-09-03,2023-12-18,73569.34,57375.18,6374973,160210,3740,49.55,542,215,327,294187.44,77.99,2.51,5.75,5.13,266.86,78.66
CMP0105,Affiliate 2023 105,affiliate,lead_gen,2023-12-27,2024-04-03,75627.48,55272.82,6141382,155852,3462,49.89,523,219,304,292696.59,73.09,2.54,6.33,5.3,252.39,84.55
CMP0073,Display 2023 073,display,awareness,2023-03-09,2023-07-02,79487.06,64824.15,9972899,58897,3112,50.22,487,232,255,289502.55,81.55,0.59,7.46,4.47,279.41,93.03
CMP0006,Paid Search 2024 006,paid_search,acquisition,2024-12-22,2025-04-04,50135.67,35513.84,1972946,69302,3235,51.8,510,217,293,288606.28,70.84,3.51,6.71,8.13,163.66,89.21
CMP0055,Affiliate 2024 055,affiliate,acquisition,2024-08-19,2024-11-19,46092.8,41199.55,4577688,111445,3241,51.05,507,219,288,285329.47,89.38,2.43,6.76,6.93,188.13,88.04
CMP0111,Paid Search 2023 111,paid_search,acquisition,2023-11-29,2024-04-01,40817.34,36543.87,2030160,68540,3453,50.46,529,217,312,280808.45,89.53,3.38,6.28,7.68,168.4,81.32
CMP0102,Paid Social 2025 102,paid_social,awareness,2025-07-17,2025-11-05,75494.94,67070.47,6097270,110317,3836,50.07,571,231,340,270077.02,88.84,1.81,6.02,4.03,290.35,70.41
CMP0090,Affiliate 2024 090,affiliate,acquisition,2024-12-07,2025-03-09,34681.0,28020.73,3113371,77939,3094,50.02,479,185,294,253215.7,80.8,2.5,5.98,9.04,151.46,81.84
CMP0008,Display 2023 008,display,lead_gen,2023-10-20,2024-02-06,76141.89,62684.63,9643736,57850,2969,51.43,462,189,273,251896.65,82.33,0.6,6.37,4.02,331.66,84.84
CMP0048,Display 2024 048,display,lead_gen,2024-11-08,2025-03-19,66122.96,57998.75,8922825,54756,2888,51.32,457,186,271,251435.2,87.71,0.61,6.44,4.34,311.82,87.06
CMP0093,Display 2024 093,display,awareness,2024-05-17,2024-09-03,78979.48,72153.85,11100544,65717,3273,50.6,478,198,280,250142.87,91.36,0.59,6.05,3.47,364.41,76.43
CMP0091,Paid Search 2024 091,paid_search,lead_gen,2024-04-08,2024-07-15,33046.33,32104.58,1783546,61551,3002,50.84,446,183,263,246347.1,97.15,3.45,6.1,7.67,175.43,82.06
CMP0106,Paid Search 2024 106,paid_search,acquisition,2024-06-29,2024-10-10,41333.42,33985.21,1888021,64380,3119,50.84,467,186,281,236669.3,82.22,3.41,5.96,6.96,182.72,75.88
CMP0097,Paid Social 2023 097,paid_social,awareness,2023-10-06,2023-12-28,50950.03,40602.61,3691106,65301,2746,49.92,433,183,250,233705.96,79.69,1.77,6.66,5.76,221.87,85.11
CMP0080,Affiliate 2024 080,affiliate,awareness,2024-04-25,2024-09-12,20903.18,17904.18,1989290,48136,2644,50.42,394,172,222,232990.96,85.65,2.42,6.51,13.01,104.09,88.12
