month,total_spend,total_revenue,roas
2023-01,23686.55,52800.58,2.23
2023-02,49461.61,170806.55,3.45
2023-03,104283.65,393351.94,3.77
2023-04,104393.9,474970.42,4.55
2023-05,97734.1,435288.12,4.45
2023-06,123064.68,569578.22,4.63
2023-07,116810.98,699206.04,5.99
2023-08,134065.09,672633.67,5.02
2023-09,155294.61,884815.77,5.7
2023-10,171832.62,939852.38,5.47
2023-11,191171.25,904954.17,4.73
2023-12,186463.37,877224.49,4.7
2024-01,122943.61,618809.35,5.03
2024-02,100601.92,441376.15,4.39
2024-03,130497.6,568388.08,4.36
2024-04,196892.88,795905.02,4.04
2024-05,177398.24,813289.19,4.58
2024-06,129762.16,581296.94,4.48
2024-07,115762.43,468529.67,4.05
2024-08,185052.08,687143.69,3.71
2024-09,205363.34,950923.18,4.63
2024-10,219378.73,961348.25,4.38
2024-11,181790.58,857423.4,4.72
2024-12,205754.77,933214.9,4.54
2025-01,189821.49,926132.23,4.88
2025-02,97550.77,619062.19,6.35
2025-03,103654.48,598344.6,5.77
2025-04,95842.28,544558.36,5.68
2025-05,109131.26,629458.15,5.77
2025-06,94604.52,515898.62,5.45
2025-07,132922.32,601132.6,4.52
2025-08,138359.57,596182.42,4.31
2025-09,65610.05,381379.89,5.81
2025-10,48774.54,228041.53,4.68
2025-11,16510.95,137433.25,8.32
2025-12,807.04,31085.0,38.52
